,Unnamed: 0,RA,DEC,Redshift,TrueLabels,labels
11213,11213,247.187541,39.390639,0.0244833333333333,ABELL 2199,1779
6003,6003,247.187771,39.437055,0.035192,ABELL 2199,1779
1523,1523,247.189023,39.636419,0.0287566666666666,CGA283,1802
5998,5998,247.190239,39.52762,0.0275003333333333,ABELL 2199,1779
5997,5997,247.191309,39.609789,0.0266946666666666,ABELL 2199,1779
9824,9824,247.191586,39.853141,0.0320093333333333,ABELL 2199,1779
6002,6002,247.192373,39.463166,0.0260206666666666,ABELL 2199,1779
843,843,247.192612,39.655886,0.0303296666666666,CGA283,1802
9894,9894,247.192734,40.617861,0.0338086666666666,ABELL 2197,1776
11187,11187,247.195416,39.532389,0.02644,ABELL 2199,1779
10840,10840,247.195662,39.750017,0.0359433333333333,ABELL 2199,1779
844,844,247.198467,39.649809,0.0267233333333333,CGA283,1802
11240,11240,247.204001,39.352111,0.0269933333333333,ABELL 2199,1779
10536,10536,247.204667,39.149017,0.0298046666666666,ABELL 2199,1779
6005,6005,247.205818,39.615723,0.030442,ABELL 2199,1779
9875,9875,247.205919,40.464087,0.0295796666666666,ABELL 2197,1776
6006,6006,247.20858,39.8352,0.035826,ABELL 2199,1779
10433,10433,247.209189,40.669299,0.0331383333333333,ABELL 2197,1776
11205,11205,247.211958,39.684389,0.0302466666666666,ABELL 2199,1779
9812,9812,247.213315,39.755471,0.0322246666666666,ABELL 2199,1779
9866,9866,247.215808,40.351489,0.029047,ABELL 2197,1776
11239,11239,247.215834,39.355694,0.0311333333333333,ABELL 2199,1779
10841,10841,247.215953,39.597645,0.0348733333333333,ABELL 2199,1779
7280,7280,247.220889,39.496975,0.0298966666666666,ABELL 2199,1779
6008,6008,247.221558,39.560292,0.0291586666666666,ABELL 2199,1779
6007,6007,247.225657,40.866628,0.030322,ABELL 2197,1776
11200,11200,247.226792,39.659361,0.0275,ABELL 2199,1779
9730,9730,247.229215,39.171027,0.0264173333333333,ABELL 2199,1779
11225,11225,247.229709,39.675222,0.0280166666666666,ABELL 2199,1779
11215,11215,247.229709,39.396361,0.0304533333333333,ABELL 2199,1779
11264,11264,247.230874,39.376556,0.0319066666666666,ABELL 2199,1779
11175,11175,247.234001,39.638028,0.0252366666666666,ABELL 2199,1779
9790,9790,247.235896,39.609482,0.035095,ABELL 2199,1779
11226,11226,247.236,39.673306,0.03046,ABELL 2199,1779
6009,6009,247.238541,39.708275,0.0311459999999999,ABELL 2199,1779
10677,10677,247.238704,41.134484,0.028132,ABELL 2197,1776
9939,9939,247.239164,40.899382,0.034554,ABELL 2197,1776
10842,10842,247.241585,39.843565,0.03127,ABELL 2199,1779
9751,9751,247.241666,39.319146,0.0338976666666666,ABELL 2199,1779
9801,9801,247.241726,39.647502,0.0286716666666666,ABELL 2199,1779
10537,10537,247.242105,39.023535,0.030379,ABELL 2199,1779
2404,2404,247.244166,39.36325,0.0330333333333333,CGB11767,1803
11244,11244,247.244792,39.654472,0.03746,ABELL 2199,1779
9817,9817,247.245137,39.803079,0.0323593333333333,ABELL 2199,1779
9988,9988,247.24527,41.255241,0.0332093333333333,ABELL 2197,1776
11290,11290,247.245333,39.510139,0.0342733333333333,ABELL 2199,1779
2303,2303,247.245772,14.536633,-0.0004696666666666,CGA1745,1804
11227,11227,247.246209,39.846028,0.03185,ABELL 2199,1779
7281,7281,247.24652,39.573379,0.0297903333333333,ABELL 2199,1779
10843,10843,247.247564,39.320592,0.0336366666666666,ABELL 2199,1779
10448,10448,247.247697,41.655149,0.0317946666666666,ABELL 2197,1776
6010,6010,247.248969,39.683854,0.0278566666666666,ABELL 2199,1779
11277,11277,247.251459,39.827361,0.0270133333333333,ABELL 2199,1779
6012,6012,247.251555,41.284122,0.031867,ABELL 2197,1776
11178,11178,247.251625,39.613556,0.0383833333333333,ABELL 2199,1779
11301,11301,247.252334,39.521861,0.0328866666666666,ABELL 2199,1779
9763,9763,247.253409,39.417274,0.0358913333333333,ABELL 2199,1779
10361,10361,247.254818,40.495042,0.0302146666666666,ABELL 2197,1776
